,Symbol,Company Name,Security Name,Cleaned Name
56,ADRO,"Aduro Biotech, Inc. ","Aduro Biotech, Inc. - Common Stock",Aduro tech
57,ADRU,Invesco BLDRS Europe Select ADR Index Fund,Invesco BLDRS Europe Select ADR Index Fund,Invesco BLDRS Europe Select ADR Index Fund
58,ADSK,"Autodesk, Inc. ","Autodesk, Inc. - Common Stock",Autodesk
59,ADTN,"ADTRAN, Inc. ","ADTRAN, Inc. - Common Stock",ADTRAN
60,ADUS,Addus HomeCare Corporation ,Addus HomeCare Corporation - Common Stock,Addus HomeCare
61,ADVM,"Adverum Biotechnologies, Inc. ","Adverum Biotechnologies, Inc. - Common Stock",Adverum Biotechnologies
62,ADXS,"Advaxis, Inc. ","Advaxis, Inc. - Common Stock",Advaxis
63,ADXSW,"Advaxis, Inc. ","Advaxis, Inc. - Warrants",Advaxis
64,AEGN,Aegion Corp ,Aegion Corp - Class A Common Stock,Aegion
65,AEHR,Aehr Test Systems ,Aehr Test Systems - Common Stock,Aehr Test Systems
66,AEIS,"Advanced Energy Industries, Inc. ","Advanced Energy Industries, Inc. - Common Stock",Advanced Energy Industries
67,AEMD,"Aethlon Medical, Inc. ","Aethlon Medical, Inc. - Common Stock",Aethlon Medical
68,AERI,"Aerie Pharmaceuticals, Inc. ","Aerie Pharmaceuticals, Inc. - Common Stock",Aerie
69,AETI,"American Electric Technologies, Inc. ","American Electric Technologies, Inc. - Common Stock","American Electric Technologies, Inc. "
70,AEY,"ADDvantage Technologies Group, Inc. ","ADDvantage Technologies Group, Inc. - Common Stock",ADDvantage Technologies Group
71,AEZS,Aeterna Zentaris Inc. ,Aeterna Zentaris Inc. - Common Stock,Aeterna Zentaris
72,AFH,"Atlas Financial Holdings, Inc. ","Atlas Financial Holdings, Inc. - Ordinary Shares","Atlas Financial Holdings, Inc. "
73,AFHBL,"Atlas Financial Holdings, Inc. ","Atlas Financial Holdings, Inc. - 6.625% Senior Unsecured Notes Due 2022","Atlas Financial Holdings, Inc. "
74,AFIN,"American Finance Trust, Inc. ","American Finance Trust, Inc. - Class A Common Stock","American Finance Trust, Inc. "
75,AFMD,Affimed N.V. ,Affimed N.V. - Common Stock,Affimed
76,AFSI,"AmTrust Financial Services, Inc. ","AmTrust Financial Services, Inc. - Common Stock",Am  
77,AGEN,Agenus Inc. ,Agenus Inc. - Common Stock,Agenus
78,AGFS,"AgroFresh Solutions, Inc. ","AgroFresh Solutions, Inc. - Common Stock",AgroFresh
79,AGFSW,"AgroFresh Solutions, Inc. ","AgroFresh Solutions, Inc. - Warrants",AgroFresh
80,AGIO,"Agios Pharmaceuticals, Inc. ","Agios Pharmaceuticals, Inc. - Common Stock",Agios Pharmaceuticals
81,AGLE,"Aeglea BioTherapeutics, Inc. ","Aeglea BioTherapeutics, Inc. - Common Stock",Aeglea BioTherapeutics
82,AGMH,AGM Group Holdings Inc. ,AGM Group Holdings Inc. - Class A Ordinary Shares,AGM Group Holdings
83,AGNC,AGNC Investment Corp. ,AGNC Investment Corp. - Common Stock,AGNC Investment
84,AGNCB,AGNC Investment Corp. ,AGNC Investment Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock,AGNC Investment Corp. 
85,AGNCN,AGNC Investment Corp. ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",AGNC Investment Corp. 
86,AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,Negative   Aggregate
87,AGRX,"Agile Therapeutics, Inc. ","Agile Therapeutics, Inc. - Common Stock",Agile Therapeutics
88,AGTC,Applied Genetic Technologies Corporation ,Applied Genetic Technologies Corporation - Common Stock,Genetic
89,AGYS,"Agilysys, Inc. ","Agilysys, Inc. - Common Stock",Agilysys
90,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,WisdomTree Interest Rate Hedged U.S. Aggregate Bond
91,AHPA,Avista Healthcare Public Acquisition Corp. ,Avista Healthcare Public Acquisition Corp. - Class A Ordinary Shares,Avista Healthcare Public Acquisition Corp. 
92,AHPAU,Avista Healthcare Public Acquisition Corp. ,Avista Healthcare Public Acquisition Corp. - Unit,Avista Healthcare Public Acquisition Corp. 
93,AHPAW,Avista Healthcare Public Acquisition Corp. ,Avista Healthcare Public Acquisition Corp. - Warrants,Avista Healthcare Public Acquisition Corp. 
94,AHPI,"Allied Healthcare Products, Inc. ","Allied Healthcare Products, Inc. - Common Stock",Allied
95,AIA,iShares Asia 50 ETF,iShares Asia 50 ETF,iShares Asia 50 ETF
96,AIHS,Senmiao Technology Limited ,Senmiao Technology Limited - Common Stock,Senmiao
97,AIMC,Altra Industrial Motion Corp. ,Altra Industrial Motion Corp. - Common Stock,Altra
98,AIMT,"Aimmune Therapeutics, Inc. ","Aimmune Therapeutics, Inc. - Common Stock",Aimmune
99,AINV,Apollo Investment Corporation ,Apollo Investment Corporation - Closed End Fund,Apollo Investment Corporation 
100,AIPT,Precision Therapeutics Inc. ,Precision Therapeutics Inc. - Common Stock,Precision rapeutics
101,AIQ,Global X Future Analytics Tech ETF,Global X Future Analytics Tech ETF,Future Analytics
102,AIRG,"Airgain, Inc. ","Airgain, Inc. - Common Stock",Airgain
